"","Cardio","Resp","Hypo","Adm","year","month"
"1",1,0,0,413,1999,11
"2",1,0,0,443,1999,12
"3",1,0,0,378,2000,1
"4",0,0,0,385,2000,2
"5",1,0,0,388,2000,3
"6",0,0,0,406,2000,4
"7",3,0,0,409,2000,5
"8",0,1,0,425,2000,6
"9",0,1,0,453,2000,7
"10",1,0,0,411,2000,8
"11",1,0,1,407,2000,9
"12",0,0,0,417,2000,10
"13",1,0,0,422,2000,11
"14",1,0,0,426,2000,12
"15",0,0,0,427,2001,1
"16",0,0,0,410,2001,2
"17",1,0,0,450,2001,3
"18",2,0,1,449,2001,4
"19",0,0,0,438,2001,5
"20",0,0,0,446,2001,6
"21",1,0,1,460,2001,7
"22",0,0,1,437,2001,8
"23",0,0,0,475,2001,9
"24",1,0,0,464,2001,10
"25",1,1,0,467,2001,11
"26",0,1,0,499,2001,12
"27",0,0,0,459,2002,1
"28",1,0,0,461,2002,2
"29",1,0,0,488,2002,3
"30",2,0,0,486,2002,4
"31",2,0,0,515,2002,5
"32",0,0,0,457,2002,6
"33",0,1,0,558,2002,7
"34",3,0,0,519,2002,8
"35",2,0,0,509,2002,9
"36",0,0,0,519,2002,10
"37",2,1,0,544,2002,11
"38",2,1,1,532,2002,12
"39",0,0,0,509,2003,1
"40",2,1,0,532,2003,2
"41",1,0,1,598,2003,3
"42",1,0,0,495,2003,4
"43",0,1,0,543,2003,5
"44",0,0,0,555,2003,6
"45",1,0,0,553,2003,7
"46",3,1,0,532,2003,8
"47",1,0,0,579,2003,9
"48",2,0,0,633,2003,10
"49",0,0,0,622,2003,11
"50",0,4,0,644,2003,12
"51",1,2,0,624,2004,1
"52",3,2,1,553,2004,2
"53",1,0,0,628,2004,3
"54",1,0,0,671,2004,4
"55",1,0,0,713,2004,5
"56",0,0,0,684,2004,6
"57",1,1,0,724,2004,7
"58",1,0,0,655,2004,8
"59",1,0,1,714,2004,9
"60",0,0,0,664,2004,10
"61",1,0,0,589,2004,11
"62",1,0,0,567,2004,12
"63",2,0,0,617,2005,1
"64",0,1,0,542,2005,2
"65",1,0,0,565,2005,3
"66",1,1,0,592,2005,4
"67",1,0,0,635,2005,5
"68",0,0,0,567,2005,6
"69",1,0,0,598,2005,7
"70",1,0,0,514,2005,8
"71",2,0,0,551,2005,9
"72",0,0,0,613,2005,10
"73",0,0,0,499,2005,11
"74",1,0,0,537,2005,12
"75",2,0,0,533,2006,1
"76",1,1,0,490,2006,2
"77",0,1,0,567,2006,3
"78",0,0,0,538,2006,4
"79",0,1,0,506,2006,5
"80",2,0,0,529,2006,6
"81",0,0,0,548,2006,7
"82",1,0,1,564,2006,8
"83",3,0,0,522,2006,9
"84",1,0,0,537,2006,10
"85",2,0,0,559,2006,11
"86",1,0,0,579,2006,12
"87",0,0,0,560,2007,1
"88",0,0,0,493,2007,2
"89",1,0,0,570,2007,3
"90",1,0,0,519,2007,4
"91",2,0,0,512,2007,5
"92",0,0,0,539,2007,6
"93",0,0,0,556,2007,7
"94",0,0,0,532,2007,8
"95",0,0,0,539,2007,9
"96",1,0,0,593,2007,10
"97",1,0,0,551,2007,11
"98",1,0,0,559,2007,12
"99",0,0,0,480,2008,1
"100",2,0,0,474,2008,2
"101",0,0,0,523,2008,3
"102",1,0,0,510,2008,4
"103",0,2,0,503,2008,5
"104",0,0,0,498,2008,6
"105",1,0,0,532,2008,7
"106",1,0,0,530,2008,8
"107",2,0,0,550,2008,9
"108",0,1,0,561,2008,10
"109",3,1,0,550,2008,11
"110",0,0,0,637,2008,12
"111",2,0,1,603,2009,1
"112",1,0,0,520,2009,2
"113",2,0,1,624,2009,3
"114",0,0,0,596,2009,4
"115",2,0,0,656,2009,5
"116",1,1,0,558,2009,6
"117",2,0,0,566,2009,7
"118",1,1,0,541,2009,8
"119",0,0,0,579,2009,9
"120",1,0,0,616,2009,10
"121",0,1,0,537,2009,11
"122",0,1,0,609,2009,12
"123",1,0,0,572,2010,1
"124",0,1,0,515,2010,2
"125",1,0,0,571,2010,3
"126",0,0,0,540,2010,4
"127",1,1,0,609,2010,5
"128",1,0,0,583,2010,6
"129",1,0,1,575,2010,7
"130",1,0,0,601,2010,8
"131",0,0,0,553,2010,9
"132",0,0,0,579,2010,10
"133",2,1,0,604,2010,11
"134",0,0,0,605,2010,12
"135",0,0,0,541,2011,1
"136",1,0,0,457,2011,2
"137",3,0,0,560,2011,3
"138",1,0,0,514,2011,4
"139",0,0,0,373,2011,5
